Period,Value,state_name
2017,38201.29435,NV
2016,39787.005,NV
2015,39046.78374,NV
2014,36000.537,NV
2013,36443.87359,NV
2012,35173.2632,NV
2011,31935.91791,NV
2010,35146.24769,NV
2009,37705.13277,NV
2008,35089.97356,NV
2007,32669.73589,NV
2006,31860.02182,NV
2005,40213.75184,NV
2004,37667.43503,NV
2003,33194.888,NV
2002,32088.935,NV
2001,33875.966,NV
2018,17581.79277,NH
2017,17446.84079,NH
2016,19282.49308,NH
2015,20015.8934,NH
2014,19538.39498,NH
2013,19778.52045,NH
2012,19222.31892,NH
2011,20065.941,NH
2010,22195.91196,NH
2009,20164.12197,NH
2008,22876.99155,NH
2007,23277.17115,NH
2006,22063.69455,NH
2005,24470.01315,NH
2004,23875.78653,NH
2003,21597.107,NH
2002,15953.078,NH
2001,15074.624,NH
2018,75255.49297,NJ
2017,75644.51252,NJ
2016,77611.40309,NJ
2015,74608.85973,NJ
2014,68051.08585,NJ
2013,64750.94171,NJ
2012,65263.40795,NJ
2011,64694.09597,NJ
2010,65682.49363,NJ
2009,61811.23904,NJ
2008,63674.78903,NJ
2007,62671.24497,NJ
2006,60700.13861,NJ
2005,60549.58298,NJ
2004,55882.34166,NJ
2003,57399.351,NJ
2002,61569.387,NJ
2001,59421.26,NJ
2018,32639.33902,NM
2017,33597.41264,NM
2016,32912.04486,NM
2015,32701.3983,NM
2014,32306.20987,NM
2013,35870.96518,NM
2012,36635.90944,NM
2011,38181.1393,NM
2010,36251.54218,NM
2009,39674.33868,NM
2008,37009.83692,NM
2007,35985.33282,NM
2006,37265.62456,NM
2005,35135.64202,NM
2004,32940.36057,NM
2003,32735.653,NM
2002,30661.707,NM
2001,33611.643,NM
2018,134155.65219,NY
2017,128065.10254,NY
2016,134417.10736,NY
2015,138627.72053,NY
2014,137122.20214,NY
2013,136116.82997,NY
2012,135768.24358,NY
2011,137480.34695,NY
2010,136961.65363,NY
2009,133150.54968,NY
2008,140322.10017,NY
2007,145878.68744,NY
2006,142265.4322,NY
2005,146887.41865,NY
2004,137964.79365,NY
2003,137643.316,NY
2002,139591.688,NY
2001,143914.559,NY
2018,134069.82973,NC
2017,128468.23471,NC
2016,130779.15707,NC
2015,128388.44461,NC
2014,128143.58813,NC
2013,125936.29336,NC
2012,116681.76322,NC
2011,118389.85492,NC
2010,128678.48325,NC
2009,118407.40252,NC
2008,125239.06286,NC
2007,130115.30057,NC
2006,125214.78441,NC
2005,129748.57757,NC
2004,126329.95675,NC
2003,127582.319,NC
2002,124468.03,NC
2001,117495.85,NC
2018,41770.81785,ND
2017,41505.07357,ND
2016,37856.45176,ND
2015,37156.61235,ND
2014,36462.50767,ND
2013,35021.67273,ND
2012,36125.15886,ND
2011,35079.9001,ND
2010,34739.54167,ND
2009,34196.46668,ND
2008,32734.57915,ND
2007,31224.10504,ND
2006,30881.1368,ND
2005,31932.61542,ND
2004,29936.1061,ND
2003,31322.129,ND
2002,31306.312,ND
2001,30332.072,ND
2018,124761.02615,OH
2017,119552.14043,OH
2016,118922.0776,OH
2015,121893.40148,OH
2014,134476.40497,OH
2013,137284.18868,OH
2012,129745.73061,OH
2011,135585.80447,OH
2010,143598.33672,OH
2009,136090.22524,OH
2008,153412.25109,OH
2007,155155.54535,OH
2006,155434.07519,OH
2005,156976.3228,OH
2004,148345.90531,OH
2003,146638.128,OH
2002,147068.85,OH
2001,142261.807,OH
2018,87106.54532,OK
2017,73731.76391,OK
2016,78655.00719,OK
2015,76135.59588,OK
2014,70155.5043,OK
2013,73673.68026,OK
2012,77896.58811,OK
2011,74605.71361,OK
2010,72250.73312,OK
2009,75066.80926,OK
2008,76328.90845,OK
2007,72819.0951,OK
2006,70614.88018,OK
2005,68607.82716,OK
2004,60729.56046,OK
2003,60626.856,OK
2002,59183.419,OK
2001,55249.45,OK
2018,64836.4748,OR
2017,62713.74747,OR
2016,60182.01282,OR
2015,57866.53464,OR
2014,60119.9072,OR
2013,59895.51466,OR
2012,60932.73047,OR
2011,59695.16413,OR
2010,55126.99915,OR
2009,56690.85643,OR
2008,58718.43754,OR
2007,55077.79394,OR
2006,53340.69511,OR
2005,49325.00253,OR
2004,51381.27819,OR
2003,48966.139,OR
2002,47099.369,OR
2001,45051.906,OR
2018,215172.50372,PA
2017,213639.29852,PA
2016,215066.50936,PA
2015,214572.2912,PA
2014,221058.36549,PA
2013,226785.63047,PA
2012,223419.71547,PA
2011,227314.72236,PA
2010,229752.30616,PA
2009,219496.14356,PA
2008,222350.92473,PA
2007,226088.34025,PA
2006,218811.59465,PA
2005,218091.1251,PA
2004,214658.50077,PA
2003,206349.513,PA
2002,204322.878,PA
2001,196576.591,PA
2018,7166.77581,RI
2017,7614.94102,RI
2016,6564.8851,RI
2015,6939.01892,RI
2014,6281.74822,RI
2013,6246.80672,RI
2012,8309.03583,RI
2011,8722.27255,RI
2010,7738.719,RI
2009,7696.82445,RI
2008,7387.26577,RI
2007,7049.84395,RI
2006,5967.72453,RI
2005,6053.29408,RI
2004,4939.41974,RI
2003,5621.145,RI
2002,7056.765,RI
2001,7501.892,RI
2018,99618.43278,SC
2017,93080.9477,SC
2016,96985.76356,SC
2015,96532.21282,SC
2014,97158.46493,SC
2013,95249.89397,SC
2012,96755.68188,SC
2011,102972.56717,SC
2010,104153.13272,SC
2009,100125.48641,SC
2008,100978.00477,SC
2007,103402.14166,SC
2006,99267.60575,SC
2005,102514.66484,SC
2004,97939.92907,SC
2003,93772.677,SC
2002,96563.498,SC
2001,89158.987,SC
2018,11315.27639,SD
2017,10935.71884,SD
2016,11524.18372,SD
2015,9633.03252,SD
2014,10995.23976,SD
2013,10108.8865,SD
2012,11473.397,SD
2011,11998.8855,SD
2010,10049.63613,SD
2009,8196.531,SD
2008,7082.67154,SD
2007,6136.60451,SD
2006,7132.243,SD
2005,6520.769,SD
2004,7510.21399,SD
2003,7943.837,SD
2002,7721.958,SD
2001,7400.743,SD
2018,80436.76404,TN
2017,79046.39705,TN
2016,79340.63331,TN
2015,75214.63614,TN
2014,79506.88648,TN
2013,79651.61943,TN
2012,77724.2638,TN
2011,81103.86222,TN
2010,82348.62483,TN
2009,79716.88865,TN
2008,90663.31248,TN
2007,95113.40875,TN
2006,93911.1016,TN
2005,97117.16522,TN
2004,97594.54187,TN
2003,92221.791,TN
2002,96114.262,TN
2001,96221.976,TN
2018,474777.11619,TX
2017,452794.46297,TX
2016,454047.59107,TX
2015,449826.33597,TX
2014,437629.66787,TX
2013,433380.16569,TX
2012,429812.50979,TX
2011,435476.92358,TX
2010,411695.0462,TX
2009,397167.9095,TX
2008,404787.78097,TX
2007,405492.29554,TX
2006,400582.87774,TX
2005,396668.72216,TX
2004,390299.1323,TX
2003,379199.685,TX
2002,385628.542,TX
2001,372580.002,TX
2018,39850.5864,UT
2017,37411.87622,UT
2016,38133.92799,UT
2015,41949.1203,UT
2014,43784.52588,UT
2013,42516.75082,UT
2012,39402.96075,UT
2011,40836.15001,UT
2010,42249.35459,UT
2009,43542.94558,UT
2008,46578.76263,UT
2007,45372.57471,UT
2006,41263.32391,UT
2005,38165.13087,UT
2004,38211.97746,UT
2003,38023.666,UT
2002,36608.003,UT
2001,35853.75,UT
2018,2357.10486,VT
2017,2141.38837,VT
2016,1911.20709,VT
2015,1982.04747,VT
2014,7031.39397,VT
2013,6884.91,VT
2012,6611.78611,VT
2011,6776.21881,VT
2010,6619.99,VT
2009,7282.34831,VT
2008,6820.21596,VT
2007,5823.58151,VT
2006,7084.34367,VT
2005,5716.75462,VT
2004,5470.37877,VT
2003,6027.962,VT
2002,5456.19,VT
2001,5480.614,VT
2018,95445.51894,VA
2017,90417.35104,VA
2016,92554.87591,VA
2015,84411.59208,VA
2014,77137.43841,VA
2013,76896.56506,VA
2012,70739.23494,VA
2011,66670.85907,VA
2010,72966.45599,VA
2009,70082.06606,VA
2008,72678.5314,VA
2007,78360.5071,VA
2006,73069.53671,VA
2005,78943.04496,VA
2004,78900.03996,VA
2003,75309.42,VA
2002,75005.651,VA
2001,74104.75,VA
2018,116792.81461,WA
2017,115912.02828,WA
2016,114086.58224,WA
2015,109287.45791,WA
2014,116334.36251,WA
2013,114172.91623,WA
2012,116835.47343,WA
2011,115262.60082,WA
2010,103472.72898,WA
2009,104470.13259,WA
2008,110828.45104,WA
2007,106990.21654,WA
2006,108203.15532,WA
2005,101965.85033,WA
2004,102165.05213,WA
2003,100094.691,WA
2002,102765.048,WA
2001,83048.669,WA
2018,67131.64301,WV
2017,73357.08017,WV
2016,75942.96757,WV
2015,72295.2689,WV
2014,81059.57667,WV
2013,75863.06664,WV
2012,73413.4047,WV
2011,78999.62354,WV
2010,80788.94723,WV
2009,70782.5143,WV
2008,91123.09661,WV
2007,93933.10909,WV
2006,93815.80421,WV
2005,93626.28529,WV
2004,89749.56171,WV
2003,94711.554,WV
2002,94761.751,WV
2001,81836.725,WV
2018,67456.90254,WI
2017,65107.10345,WI
2016,64966.61115,WI
2015,66360.18322,WI
2014,61064.79568,WI
2013,65962.79179,WI
2012,63750.93789,WI
2011,63289.34377,WI
2010,64314.06709,WI
2009,59959.06041,WI
2008,63479.55495,WI
2007,63390.6297,WI
2006,61639.84347,WI
2005,61824.66358,WI
2004,60444.93342,WI
2003,60122.425,WI
2002,58431.438,WI
2001,58763.431,WI
2018,46320.15362,WY
2017,46741.84595,WY
2016,46656.63013,WY
2015,48966.5191,WY
2014,49696.18336,WY
2013,52483.0654,WY
2012,49588.60621,WY
2011,47638.47083,WY
2010,48119.25384,WY
2009,46029.21247,WY
2008,46500.44832,WY
2007,45633.48639,WY
2006,45400.36984,WY
2005,45567.30697,WY
2004,44807.60443,WY
2003,43626.602,WY
2002,43783.839,WY
2001,44776.938,WY
